,Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Team,Season
0,1.0,Gweon Su An?,27.0,24,16,15,4,3,0,0,0,1,0.0,0.0,1,3,0.2,0.25,0.2,0.45,3,1,0,0,0,0.0,,Doosan Bears,2020
1,2.0,Ju-hwan Choi*,32.0,29,114,103,14,27,7,0,6,21,0.0,0.0,7,14,0.262,0.316,0.505,0.821,52,3,2,0,2,1.0,,Doosan Bears,2020
2,3.0,Sang-ho Chung,37.0,16,34,32,0,6,3,0,0,3,0.0,0.0,0,11,0.188,0.182,0.281,0.46299999999999997,9,2,0,1,1,0.0,,Doosan Bears,2020
3,4.0,Soo-bin Chung*,29.0,28,110,100,16,27,4,1,0,10,2.0,1.0,7,13,0.27,0.318,0.33,0.648,33,1,0,3,0,0.0,,Doosan Bears,2020
4,5.0,Jose Miguel Fernandez*,32.0,30,139,124,24,51,9,0,5,28,0.0,0.0,11,12,0.41100000000000003,0.45299999999999996,0.605,1.058,75,5,1,0,3,0.0,,Doosan Bears,2020
5,6.0,Kyeong-min Ho,29.0,24,98,90,12,28,4,1,2,14,3.0,1.0,6,6,0.311,0.34700000000000003,0.444,0.7909999999999999,40,3,0,0,2,0.0,,Doosan Bears,2020
6,7.0,In-Tae Kim*,25.0,16,20,14,5,1,0,0,0,0,0.0,0.0,6,1,0.071,0.35,0.071,0.42100000000000004,1,2,0,0,0,0.0,,Doosan Bears,2020
7,8.0,Jae-ho Kim,35.0,28,109,98,15,34,4,1,0,12,1.0,1.0,7,10,0.34700000000000003,0.389,0.408,0.797,40,4,1,1,2,0.0,,Doosan Bears,2020
8,9.0,Jae-hwan Kim*,31.0,29,128,111,21,29,5,0,7,27,0.0,0.0,15,41,0.261,0.344,0.495,0.8390000000000001,55,3,0,0,2,0.0,,Doosan Bears,2020
9,10.0,Min Seok Kwon?,21.0,4,5,2,1,0,0,0,0,1,0.0,0.0,1,1,0.0,0.25,0.0,0.25,0,0,0,1,1,0.0,,Doosan Bears,2020
10,11.0,Byung-hwee Lee,21.0,16,7,4,3,1,0,1,0,0,0.0,1.0,3,2,0.25,0.5710000000000001,0.75,1.321,3,0,0,0,0,0.0,,Doosan Bears,2020
11,12.0,Jae-il Oh*,33.0,24,102,91,16,31,9,0,3,17,0.0,0.0,11,22,0.341,0.41200000000000003,0.5379999999999999,0.95,49,2,0,0,0,0.0,,Doosan Bears,2020
12,13.0,Jae-won Oh*,35.0,27,64,57,10,17,1,0,4,14,1.0,2.0,6,18,0.298,0.359,0.526,0.8859999999999999,30,1,0,0,1,0.0,,Doosan Bears,2020
13,14.0,Min-Ki Paek,29.0,3,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,Doosan Bears,2020
14,15.0,Geon-woo Park,29.0,30,127,113,22,29,10,0,1,11,2.0,0.0,9,15,0.257,0.331,0.37200000000000005,0.7020000000000001,42,2,4,0,1,1.0,,Doosan Bears,2020
15,16.0,Sae-Hyeok Park*,30.0,27,92,80,13,24,3,0,0,9,0.0,2.0,9,9,0.3,0.38,0.33799999999999997,0.718,27,3,2,0,1,0.0,,Doosan Bears,2020
16,17.0,Chan Yeol Yang?,23.0,4,10,9,0,3,0,0,0,2,0.0,0.0,1,1,0.33299999999999996,0.4,0.33299999999999996,0.733,3,0,0,0,0,0.0,,Doosan Bears,2020
17,,17 Players,31.0,30,1209,1069,186,321,61,4,29,175,9.0,9.0,101,185,0.3,0.36200000000000004,0.446,0.8079999999999999,477,33,13,7,19,2.0,,Doosan Bears,2020
18,1.0,Jin-hyuk Chang*,26.0,19,37,32,2,5,0,1,0,1,2.0,1.0,5,6,0.156,0.27,0.21899999999999997,0.489,7,0,0,0,0,0.0,,Hanwha Eagles,2020
19,2.0,Woon-Ho Chang,26.0,6,4,3,2,0,0,0,0,1,0.0,0.0,1,2,0.0,0.25,0.0,0.25,0,0,0,0,0,0.0,,Hanwha Eagles,2020
20,3.0,In Ho Choi?,20.0,1,5,5,0,2,0,0,0,0,0.0,0.0,0,1,0.4,0.4,0.4,0.8,2,0,0,0,0,0.0,,Hanwha Eagles,2020
21,4.0,Jae-hun Choi,30.0,28,81,74,6,15,5,0,0,4,0.0,0.0,5,13,0.203,0.263,0.27,0.5329999999999999,20,2,1,1,0,0.0,,Hanwha Eagles,2020
22,5.0,Jin-hang Choi,34.0,6,18,16,2,4,0,0,2,4,0.0,0.0,2,2,0.25,0.33299999999999996,0.625,0.958,10,1,0,0,0,0.0,,Hanwha Eagles,2020
23,6.0,Seung-Jun Choi,32.0,2,4,3,1,1,0,0,0,1,0.0,0.0,0,2,0.33299999999999996,0.5,0.33299999999999996,0.833,1,0,1,0,0,0.0,,Hanwha Eagles,2020
24,7.0,Jin-Ho Chung*,31.0,31,114,104,13,29,1,0,0,4,5.0,2.0,8,18,0.27899999999999997,0.327,0.28800000000000003,0.616,30,3,0,1,1,0.0,,Hanwha Eagles,2020
25,8.0,Joo-Suk Ha*,26.0,12,43,42,2,14,3,0,0,7,2.0,0.0,1,8,0.33299999999999996,0.349,0.405,0.754,17,1,0,0,0,0.0,,Hanwha Eagles,2020
26,9.0,Jared Hoying*,31.0,24,95,90,11,19,3,0,4,13,4.0,2.0,5,23,0.21100000000000002,0.253,0.37799999999999995,0.63,34,4,0,0,0,0.0,,Hanwha Eagles,2020
27,10.0,Han Min Jo?,19.0,8,12,12,2,4,0,0,0,0,0.0,0.0,0,6,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667,4,0,0,0,0,0.0,,Hanwha Eagles,2020
28,11.0,Eun-won Jung*,20.0,30,111,99,12,27,7,0,1,9,1.0,1.0,10,15,0.273,0.35100000000000003,0.374,0.725,37,1,2,0,0,0.0,,Hanwha Eagles,2020
29,12.0,Hui-sung Kim,34.0,15,25,18,1,3,1,0,0,1,0.0,0.0,3,6,0.16699999999999998,0.304,0.222,0.527,4,2,1,2,1,0.0,,Hanwha Eagles,2020
30,13.0,Hyun Min Kim?,20.0,4,5,5,2,2,0,0,0,0,0.0,0.0,0,1,0.4,0.4,0.4,0.8,2,0,0,0,0,0.0,,Hanwha Eagles,2020
31,14.0,Mun-Ho Kim*,33.0,18,52,46,6,10,1,0,2,5,0.0,0.0,5,11,0.217,0.308,0.37,0.677,17,1,1,0,0,0.0,,Hanwha Eagles,2020
32,15.0,Tae-Kyun Kim,38.0,17,55,47,1,9,1,0,0,3,0.0,0.0,7,9,0.191,0.309,0.213,0.522,10,2,1,0,0,0.0,,Hanwha Eagles,2020
33,16.0,Dong-hoon Lee*,23.0,9,15,15,0,2,0,0,0,0,0.0,0.0,0,3,0.133,0.133,0.133,0.267,2,0,0,0,0,0.0,,Hanwha Eagles,2020
34,17.0,Hae-chang Lee,33.0,15,35,31,3,5,0,0,2,5,0.0,0.0,3,6,0.161,0.257,0.355,0.612,11,2,1,0,0,0.0,,Hanwha Eagles,2020
35,18.0,Seong-yeol Lee*,35.0,29,112,106,6,24,2,0,2,13,1.0,1.0,4,28,0.226,0.268,0.302,0.57,32,2,2,0,0,0.0,,Hanwha Eagles,2020
36,19.0,Yong-gyu Lee*,34.0,26,91,78,10,24,2,0,1,7,4.0,2.0,12,10,0.308,0.40700000000000003,0.37200000000000005,0.778,29,3,1,0,0,0.0,,Hanwha Eagles,2020
37,20.0,Tae-Hyeong No*,25.0,1,3,3,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,Hanwha Eagles,2020
38,21.0,Si-hwan Noh,19.0,23,69,65,9,14,5,0,3,6,0.0,0.0,4,21,0.215,0.261,0.431,0.6920000000000001,28,2,0,0,0,0.0,,Hanwha Eagles,2020
39,22.0,Seon-jin Oh,30.0,9,28,26,2,9,2,0,1,5,0.0,0.0,1,4,0.34600000000000003,0.37,0.5379999999999999,0.909,14,0,0,1,0,0.0,,Hanwha Eagles,2020
40,23.0,Han-gyul Park,25.0,2,6,6,2,2,0,0,0,1,0.0,0.0,0,2,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667,2,1,0,0,0,0.0,,Hanwha Eagles,2020
41,24.0,Jung Hyun Park?,18.0,1,3,3,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,Hanwha Eagles,2020
42,25.0,Sang-eon Park,23.0,1,4,4,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,Hanwha Eagles,2020
43,26.0,Gwang-min Song,37.0,29,98,92,8,20,6,0,2,7,0.0,0.0,3,20,0.217,0.247,0.348,0.595,32,7,1,1,1,0.0,,Hanwha Eagles,2020
44,,26 Players,29.9,31,1125,1025,103,244,39,1,20,97,19.0,9.0,79,220,0.23800000000000002,0.299,0.337,0.636,345,34,12,6,3,0.0,,Hanwha Eagles,2020
45,1.0,Yeong-seok Chang,30.0,11,37,31,1,4,0,0,0,2,0.0,0.0,4,7,0.129,0.243,0.129,0.37200000000000005,4,3,1,0,1,0.0,,Kia Tigers,2020
46,2.0,Hyoung-woo Choi*,36.0,31,136,111,24,33,5,0,6,17,0.0,0.0,22,16,0.297,0.41200000000000003,0.505,0.9159999999999999,56,1,1,0,2,0.0,,Kia Tigers,2020
47,3.0,Jeong-Min Choi*,31.0,1,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,Kia Tigers,2020
48,4.0,Jeong-young Choi*,23.0,5,5,5,0,1,0,0,0,0,0.0,0.0,0,3,0.2,0.2,0.2,0.4,1,0,0,0,0,0.0,,Kia Tigers,2020
49,5.0,Won-joon Choi*,23.0,29,93,77,6,17,3,0,0,8,3.0,0.0,8,10,0.221,0.289,0.26,0.5489999999999999,20,0,1,3,4,0.0,,Kia Tigers,2020
50,6.0,Seung-Taek Han,26.0,23,73,65,10,20,3,0,4,8,0.0,0.0,3,16,0.308,0.366,0.5379999999999999,0.905,35,1,3,2,0,0.0,,Kia Tigers,2020
51,7.0,Dae-in Hwang,24.0,12,39,34,3,9,2,0,1,4,0.0,0.0,5,7,0.265,0.359,0.41200000000000003,0.7709999999999999,14,2,0,0,0,0.0,,Kia Tigers,2020
52,8.0,Yoon-ho Hwang,26.0,20,60,60,3,14,2,0,0,4,2.0,0.0,0,8,0.233,0.233,0.267,0.5,16,3,0,0,0,0.0,,Kia Tigers,2020
53,9.0,Ho-ryeong Kim,28.0,7,26,24,9,9,1,2,2,4,2.0,0.0,1,10,0.375,0.423,0.833,1.256,20,0,1,0,0,0.0,,Kia Tigers,2020
54,10.0,Ju-chan Kim,39.0,1,4,4,0,1,0,0,0,0,0.0,1.0,0,0,0.25,0.25,0.25,0.5,1,1,0,0,0,0.0,,Kia Tigers,2020
55,11.0,Kyu Sung Kim?,23.0,11,14,13,0,2,0,0,0,1,1.0,0.0,0,2,0.154,0.154,0.154,0.308,2,0,0,1,0,0.0,,Kia Tigers,2020
56,12.0,Seon-bin Kim,30.0,30,124,106,16,36,8,0,0,14,1.0,1.0,17,13,0.34,0.435,0.415,0.851,44,3,1,0,0,0.0,,Kia Tigers,2020
57,13.0,Jeong-hoon Lee*,25.0,3,4,4,0,0,0,0,0,0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,Kia Tigers,2020
58,14.0,Woo-Seong Lee,25.0,19,24,19,3,1,1,0,0,1,0.0,0.0,4,4,0.053,0.25,0.105,0.355,2,0,1,0,0,0.0,,Kia Tigers,2020
59,15.0,Seon-jae Moon,30.0,15,6,6,1,1,0,0,0,0,0.0,0.0,0,2,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.33299999999999996,1,0,0,0,0,0.0,,Kia Tigers,2020
60,16.0,Ji-wan Na,35.0,30,120,104,17,32,7,0,4,18,0.0,0.0,13,23,0.308,0.392,0.49,0.882,51,1,2,0,1,0.0,,Kia Tigers,2020
61,17.0,Ju-hwan Na,36.0,17,46,43,5,8,1,0,1,4,0.0,0.0,1,7,0.18600000000000003,0.2,0.27899999999999997,0.479,12,1,0,1,1,0.0,,Kia Tigers,2020
62,18.0,Yong-hwan Paek,31.0,13,46,39,6,11,3,0,2,5,0.0,0.0,7,11,0.282,0.391,0.513,0.904,20,1,0,0,0,0.0,,Kia Tigers,2020
63,19.0,Chan-Ho Park,25.0,31,137,127,18,30,6,0,1,7,3.0,3.0,9,27,0.23600000000000002,0.287,0.307,0.594,39,1,0,1,0,0.0,,Kia Tigers,2020
64,20.0,Preston Tucker*,29.0,31,134,122,22,39,10,0,8,31,0.0,0.0,11,16,0.32,0.381,0.598,0.9790000000000001,73,4,1,0,0,0.0,,Kia Tigers,2020
65,21.0,Min-sang Yu*,31.0,25,82,72,4,24,2,0,1,14,0.0,0.0,8,14,0.33299999999999996,0.402,0.40299999999999997,0.805,29,4,1,0,1,0.0,,Kia Tigers,2020
66,,21 Players,29.2,31,1211,1067,148,292,54,2,30,143,12.0,5.0,113,198,0.27399999999999997,0.34700000000000003,0.41200000000000003,0.76,440,26,13,8,10,0.0,,Kia Tigers,2020
67,1.0,Sang Kwon Byeon?,23.0,3,5,5,1,1,1,0,0,0,0.0,0.0,0,2,0.2,0.2,0.4,0.6,2,0,0,0,0,0.0,,Kiwoom Heroes,2020
68,2.0,Hyo-sang Choo*,22.0,6,4,4,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,,Kiwoom Heroes,2020
69,3.0,Jung-heop Ho,30.0,9,20,18,3,5,0,0,0,1,0.0,0.0,2,3,0.278,0.35,0.278,0.628,5,0,0,0,0,0.0,,Kiwoom Heroes,2020
70,4.0,Byung-woo Jeon,27.0,15,45,41,4,13,3,0,2,12,0.0,0.0,4,10,0.317,0.37799999999999995,0.537,0.914,22,0,0,0,0,0.0,,Kiwoom Heroes,2020
71,5.0,Ha-Seong Kim,24.0,31,141,116,27,33,8,0,5,20,4.0,0.0,23,14,0.284,0.41100000000000003,0.483,0.894,56,2,2,0,0,0.0,,Kiwoom Heroes,2020
72,6.0,Hye-seong Kim*,21.0,29,92,82,15,24,2,1,1,8,3.0,2.0,9,21,0.293,0.359,0.37799999999999995,0.737,31,0,0,0,1,0.0,,Kiwoom Heroes,2020
73,7.0,Joo-hyung Kim,24.0,19,37,31,6,7,2,0,1,5,0.0,0.0,3,8,0.226,0.33299999999999996,0.387,0.72,12,0,2,1,0,0.0,,Kiwoom Heroes,2020
74,8.0,Kyu-min Kim*,27.0,24,56,53,6,10,1,0,0,2,1.0,0.0,3,11,0.18899999999999997,0.23199999999999998,0.20800000000000002,0.44,11,3,0,0,0,0.0,,Kiwoom Heroes,2020
75,9.0,Woong-bin Kim*,24.0,8,25,22,6,6,1,0,1,5,0.0,0.0,2,6,0.273,0.32,0.455,0.775,10,0,0,0,1,0.0,,Kiwoom Heroes,2020
76,10.0,Ji-yeong Lee,34.0,23,73,67,8,22,3,1,0,10,1.0,0.0,6,10,0.32799999999999996,0.384,0.40299999999999997,0.787,27,3,0,0,0,0.0,,Kiwoom Heroes,2020
77,11.0,Jung-hoo Lee*,21.0,31,139,123,23,46,13,1,5,21,2.0,0.0,13,10,0.374,0.43200000000000005,0.618,1.05,76,3,1,0,2,0.0,,Kiwoom Heroes,2020
78,12.0,Taek-geun Lee,39.0,20,64,57,5,11,5,0,0,7,0.0,0.0,7,21,0.193,0.281,0.281,0.562,16,1,0,0,0,0.0,,Kiwoom Heroes,2020
79,13.0,Byung-Wook Lim*,24.0,11,40,36,3,10,4,0,0,6,3.0,0.0,4,9,0.278,0.35,0.389,0.7390000000000001,14,1,0,0,0,1.0,,Kiwoom Heroes,2020
80,14.0,Taylor Motter,30.0,10,37,35,4,4,0,0,1,3,0.0,0.0,1,10,0.114,0.135,0.2,0.335,7,0,0,0,1,0.0,,Kiwoom Heroes,2020
81,15.0,ByungHo Park,33.0,31,132,106,21,22,1,0,6,17,0.0,0.0,24,42,0.20800000000000002,0.35600000000000004,0.387,0.743,41,3,1,0,1,1.0,,Kiwoom Heroes,2020
82,16.0,Dong-won Park,30.0,30,109,97,18,35,8,0,7,28,0.0,0.0,8,14,0.361,0.40700000000000003,0.66,1.067,64,1,1,1,2,0.0,,Kiwoom Heroes,2020
83,17.0,Jeong-um Park*,31.0,24,16,15,2,2,0,0,0,1,0.0,0.0,1,5,0.133,0.188,0.133,0.321,2,0,0,0,0,0.0,,Kiwoom Heroes,2020
84,18.0,Jun-Tae Park*,28.0,29,79,61,10,13,2,0,0,3,0.0,0.0,10,24,0.213,0.342,0.24600000000000002,0.588,15,1,3,3,2,0.0,,Kiwoom Heroes,2020
85,19.0,Geon-chang Seo*,30.0,30,125,105,19,32,4,1,4,17,7.0,2.0,16,9,0.305,0.4,0.47600000000000003,0.8759999999999999,50,3,2,0,2,0.0,,Kiwoom Heroes,2020
86,,19 Players,27.8,31,1239,1074,181,296,58,4,33,166,21.0,4.0,136,230,0.276,0.36,0.429,0.789,461,21,12,5,12,2.0,,Kiwoom Heroes,2020
87,1.0,Jeong-dae Bae,25.0,30,121,110,17,40,11,3,1,15,2.0,1.0,9,23,0.364,0.408,0.545,0.9540000000000001,60,1,0,1,1,0.0,,KT Wiz,2020
88,2.0,Seong-woo Chang,30.0,29,100,89,9,26,5,0,3,19,0.0,0.0,6,13,0.292,0.33,0.449,0.779,40,5,0,3,2,0.0,,KT Wiz,2020
89,3.0,Seong Ho Cheon?,22.0,4,10,9,1,3,2,0,0,0,0.0,0.0,1,3,0.33299999999999996,0.4,0.556,0.956,5,0,0,0,0,0.0,,KT Wiz,2020
90,4.0,Yong-ho Cho*,30.0,28,99,85,22,32,5,0,0,10,1.0,0.0,11,10,0.376,0.449,0.435,0.884,37,1,1,1,1,0.0,,KT Wiz,2020
91,5.0,Jae-gyun Hwang,32.0,25,105,98,18,30,6,1,2,15,3.0,1.0,5,20,0.306,0.34299999999999997,0.449,0.792,44,0,1,0,1,0.0,,KT Wiz,2020
92,6.0,Baek-ho Kang*,20.0,15,69,59,13,19,6,1,5,14,0.0,0.0,9,11,0.322,0.406,0.7120000000000001,1.1179999999999999,42,0,0,0,1,0.0,,KT Wiz,2020
93,7.0,Hyeon Woo Kang?,19.0,18,23,21,1,5,2,0,0,2,0.0,0.0,2,4,0.23800000000000002,0.304,0.33299999999999996,0.638,7,1,0,0,0,0.0,,KT Wiz,2020
94,8.0,Min-Gok Kang,28.0,18,22,22,3,4,0,0,0,2,0.0,0.0,0,6,0.182,0.182,0.182,0.364,4,0,0,0,0,0.0,,KT Wiz,2020
95,9.0,Byung-hee Kim,29.0,8,15,15,1,2,0,0,1,1,0.0,0.0,0,5,0.133,0.133,0.33299999999999996,0.467,5,0,0,0,0,0.0,,KT Wiz,2020
96,10.0,Min-hyeok Kim*,24.0,26,85,78,11,20,2,2,3,10,1.0,2.0,6,11,0.256,0.306,0.449,0.755,35,0,0,0,1,0.0,,KT Wiz,2020
97,11.0,Sang-cheol Moon,29.0,14,46,45,6,12,2,0,2,8,0.0,1.0,0,10,0.267,0.267,0.444,0.711,20,0,0,1,0,0.0,,KT Wiz,2020
98,12.0,Seung-taik Oh,28.0,19,30,27,4,3,0,1,0,1,1.0,0.0,1,7,0.111,0.2,0.185,0.385,5,1,2,0,0,0.0,,KT Wiz,2020
99,13.0,Kyung-soo Park,36.0,30,108,89,14,27,4,0,4,19,0.0,0.0,12,24,0.303,0.39299999999999996,0.483,0.8759999999999999,43,3,3,1,3,0.0,,KT Wiz,2020
100,14.0,Seung-Wook Park*,27.0,23,33,28,5,5,0,1,0,1,1.0,1.0,3,9,0.179,0.303,0.25,0.5529999999999999,7,1,2,0,0,0.0,,KT Wiz,2020
101,15.0,Mel Rojas#,30.0,30,131,121,25,46,10,0,9,29,0.0,0.0,8,30,0.38,0.42,0.6859999999999999,1.1059999999999999,83,1,1,0,1,1.0,,KT Wiz,2020
102,16.0,Woo-joon Shim,25.0,30,137,125,14,33,3,1,0,13,6.0,3.0,9,25,0.264,0.311,0.304,0.615,38,0,0,2,1,0.0,,KT Wiz,2020
103,17.0,Min-seob Song,28.0,26,11,9,2,0,0,0,0,1,1.0,0.0,0,3,0.0,0.0,0.0,0.0,0,0,0,1,1,0.0,,KT Wiz,2020
104,18.0,Han-jun Yu,38.0,16,55,52,12,15,1,0,3,7,0.0,0.0,3,7,0.28800000000000003,0.327,0.48100000000000004,0.8079999999999999,25,1,0,0,0,0.0,,KT Wiz,2020
105,,18 Players,28.4,30,1200,1082,178,322,59,10,33,167,16.0,9.0,85,221,0.298,0.35,0.462,0.813,500,15,10,10,13,1.0,,KT Wiz,2020
106,1.0,Weun-Sung Chae,30.0,29,121,112,22,36,4,1,4,23,0.0,0.0,6,21,0.321,0.364,0.48200000000000004,0.846,54,4,2,0,1,0.0,,LG Twins,2020
107,2.0,Geun-woo Chung,37.0,27,85,75,10,15,2,0,1,5,5.0,1.0,6,10,0.2,0.265,0.267,0.532,20,3,1,2,1,0.0,,LG Twins,2020
108,3.0,Ju-hyun Chung,29.0,23,46,41,9,10,2,0,2,3,1.0,1.0,5,12,0.244,0.326,0.439,0.765,18,1,0,0,0,0.0,,LG Twins,2020
109,4.0,Suk Hyun Han?,26.0,4,2,1,1,0,0,0,0,0,0.0,0.0,1,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0.0,,LG Twins,2020
110,5.0,Chang-ki Hong*,26.0,24,47,33,8,7,4,0,0,2,1.0,1.0,12,7,0.212,0.426,0.33299999999999996,0.759,11,1,1,0,1,0.0,,LG Twins,2020
111,6.0,Hyun Soo Kim*,32.0,30,134,122,26,46,12,1,3,20,0.0,0.0,12,8,0.377,0.433,0.5660000000000001,0.998,69,3,0,0,0,2.0,,LG Twins,2020
112,7.0,Min-seong Kim,31.0,28,105,90,9,25,8,0,1,15,0.0,0.0,12,16,0.278,0.365,0.4,0.765,36,4,1,1,1,0.0,,LG Twins,2020
113,8.0,Yong-ui Kim*,34.0,21,19,19,4,6,0,1,0,4,2.0,1.0,0,5,0.316,0.316,0.42100000000000004,0.737,8,1,0,0,0,0.0,,LG Twins,2020
114,9.0,Bon-hyeok Koo,23.0,24,10,9,2,1,0,0,0,1,0.0,0.0,1,2,0.111,0.2,0.111,0.311,1,0,0,0,0,0.0,,LG Twins,2020
115,10.0,Chun-Woong Lee*,31.0,28,129,119,19,32,4,1,1,9,5.0,2.0,9,17,0.26899999999999996,0.318,0.345,0.662,41,1,0,0,1,0.0,,LG Twins,2020
116,11.0,Seong-u Lee,38.0,13,15,14,3,5,0,0,2,8,0.0,0.0,0,3,0.35700000000000004,0.35700000000000004,0.7859999999999999,1.143,11,0,0,1,0,0.0,,LG Twins,2020
117,12.0,Ji-hwan Oh*,30.0,30,113,99,16,22,3,2,3,11,6.0,1.0,7,28,0.222,0.28800000000000003,0.384,0.672,38,0,3,2,2,0.0,,LG Twins,2020
118,13.0,Seung-hyun Paek,25.0,13,18,15,3,6,1,0,0,2,0.0,0.0,1,2,0.4,0.43799999999999994,0.467,0.904,7,0,0,2,0,0.0,,LG Twins,2020
119,14.0,Jae-wook Park,24.0,4,7,6,0,1,0,0,0,1,0.0,0.0,0,1,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.452,1,0,1,0,0,0.0,,LG Twins,2020
120,15.0,Yong-taik Park*,41.0,29,101,92,12,26,7,0,0,17,1.0,0.0,7,16,0.28300000000000003,0.327,0.359,0.685,33,4,0,0,2,0.0,,LG Twins,2020
