,Name,Team,OG_PA,proj_RBI_rate,proj_HR_rate,proj_BA,PA,BA,current_RBI_rate,current_HR_rate
0,Gweon Su An,Doosan Bears,16,0.05028333437551254,0.001556522505544904,0.19630241178087746,30,0.214,0.1,0.0
1,Ju-hwan Choi,Doosan Bears,114,0.17305480486457026,0.048972322559527916,0.26905504836663324,404,0.29600000000000004,0.15346534653465346,0.027227722772277228
2,Sang-ho Chung,Doosan Bears,34,0.101054030952183,0.0003426334461316249,0.18792358751727656,91,0.165,0.08791208791208792,0.0
3,Soo-bin Chung,Doosan Bears,110,0.08576241842812209,0.0013495950489768385,0.2676260994052688,382,0.309,0.1099476439790576,0.007853403141361256
4,Jose Miguel Fernandez,Doosan Bears,139,0.18772086427839105,0.03841678872899901,0.40248888198268506,471,0.366,0.16772823779193205,0.03397027600849257
5,Kyeong-min Ho,Doosan Bears,98,0.14840963595745665,0.020573170103912942,0.30906992981400544,308,0.344,0.12012987012987013,0.01948051948051948
6,In-Tae Kim,Doosan Bears,20,0.0008552688643595624,-0.00800514786987018,0.08506503758063598,85,0.215,0.11764705882352941,0.011764705882352941
7,Jae-ho Kim,Doosan Bears,109,0.12742354500562375,0.003691892736720395,0.3373852444341843,314,0.298,0.08598726114649681,0.006369426751592357
8,Jae-hwan Kim,Doosan Bears,128,0.16272964353734748,0.053682040231530725,0.2641323733978747,424,0.277,0.1957547169811321,0.04716981132075472
9,Min Seok Kwon,Doosan Bears,5,0.14119131923809214,-0.028808481291156908,0.07779846804779705,53,0.239,0.07547169811320754,0.0
10,Byung-hwee Lee,Doosan Bears,7,0.3320120072500369,0.06312763127771256,0.21747765240187789,82,0.28800000000000003,0.07317073170731707,0.0
11,Jae-il Oh,Doosan Bears,102,0.1454683664651622,0.03058077911653457,0.3360581207811535,356,0.339,0.18258426966292135,0.03932584269662921
12,Jae-won Oh,Doosan Bears,64,0.17440427575749326,0.05949893628531905,0.3020353323261996,146,0.237,0.1780821917808219,0.03424657534246575
13,Min-Ki Paek,Doosan Bears,1,0.014188067019064247,0.0027012254510286287,-0.005358212526214767,19,0.188,0.0,0.0
14,Geon-woo Park,Doosan Bears,127,0.10679745144565178,0.009607076369553418,0.252666879679875,408,0.306,0.125,0.029411764705882353
15,Sae-Hyeok Park,Doosan Bears,92,0.09229610582910476,0.004177395437589025,0.28641836113133795,270,0.258,0.1259259259259259,0.014814814814814815
16,Chan Yeol Yang,Doosan Bears,10,0.07738463538544804,0.0030861179848003808,0.3215529885784214,21,0.235,0.09523809523809523,0.0
17,Jin-hyuk Chang,Hanwha Eagles,37,0.07628712099082187,0.0013549153759997105,0.15480091047177813,37,0.156,0.02702702702702703,0.0
18,Woon-Ho Chang,Hanwha Eagles,4,-0.015760616205769268,-0.010071456190166613,0.023463012470132192,25,0.13,0.16,0.04
19,In Ho Choi,Hanwha Eagles,5,0.0932729510944732,-0.0010788165211246693,0.4096964603335399,60,0.19,0.06666666666666667,0.0
20,Jae-hun Choi,Hanwha Eagles,81,0.06687523702339432,0.00024194834905978853,0.202726783530516,275,0.27,0.07636363636363637,0.01090909090909091
21,Jin-hang Choi,Hanwha Eagles,18,0.21401684367021664,0.10281357535365272,0.26773042998839114,188,0.235,0.11702127659574468,0.03723404255319149
22,Seung-Jun Choi,Hanwha Eagles,4,0.10616442126458152,0.0074842239101298655,0.3011027441511708,4,0.333,0.25,0.0
23,Jin-Ho Chung,Hanwha Eagles,114,0.0752470622009124,0.0013847006023448571,0.27365465322894345,216,0.29100000000000004,0.05092592592592592,0.004629629629629629
24,Joo-Suk Ha,Hanwha Eagles,43,0.09674592012520784,-0.0010119169593199324,0.3376204350655101,214,0.275,0.1261682242990654,0.009345794392523364
25,Jared Hoying,Hanwha Eagles,95,0.11266009763154193,0.0359448149156994,0.22097012040825725,134,0.194,0.1044776119402985,0.029850746268656716
26,Han Min Jo,Hanwha Eagles,12,0.07626253629514711,-0.00011452094773943025,0.33884773186144856,36,0.28600000000000003,0.05555555555555555,0.0
27,Eun-won Jung,Hanwha Eagles,111,0.09194403892012734,0.01087042029474716,0.2669910215144791,303,0.248,0.09570957095709572,0.009900990099009901
28,Hui-sung Kim,Hanwha Eagles,25,0.0856872728333283,7.47303930977508e-05,0.17006227058303225,25,0.16699999999999998,0.04,0.0
29,Hyun Min Kim,Hanwha Eagles,5,0.0942088334489542,0.00017856364452135782,0.4061654395778577,5,0.4,0.0,0.0
30,Mun-Ho Kim,Hanwha Eagles,52,0.11344187992877068,0.03622801700483057,0.22197457730832865,52,0.217,0.09615384615384616,0.038461538461538464
31,Tae-Kyun Kim,Hanwha Eagles,55,0.05460555641487138,0.00042446118975797593,0.18796546181406734,254,0.219,0.1141732283464567,0.007874015748031496
32,Dong-hoon Lee,Hanwha Eagles,15,0.037844424810632916,0.001367240653770984,0.13263779699981748,31,0.1,0.0,0.0
33,Hae-chang Lee,Hanwha Eagles,35,0.12219202442572392,0.05182011682664246,0.1738855771756221,77,0.212,0.12987012987012986,0.03896103896103896
34,Seong-yeol Lee,Hanwha Eagles,112,0.08642414832977292,0.01520151562034629,0.23167295160887866,179,0.198,0.1452513966480447,0.027932960893854747
35,Yong-gyu Lee,Hanwha Eagles,91,0.09423401699038253,0.01424909319681281,0.2954426578983825,376,0.29,0.061170212765957445,0.0026595744680851063
36,Tae-Hyeong No,Hanwha Eagles,3,0.00952157378401175,0.00256494524795425,-0.005392662298553008,66,0.254,0.09090909090909091,0.0
37,Si-hwan Noh,Hanwha Eagles,69,0.12346791772743193,0.0377222412799995,0.22373988221003305,196,0.211,0.10714285714285714,0.030612244897959183
38,Seon-jin Oh,Hanwha Eagles,28,0.14629481996558508,0.03144388021770965,0.354535850471302,152,0.221,0.09210526315789473,0.013157894736842105
39,Han-gyul Park,Hanwha Eagles,6,0.08034686730250845,0.0008627895890800357,0.3370879626379926,24,0.15,0.041666666666666664,0.0
40,Jung Hyun Park,Hanwha Eagles,3,0.006689659764316333,0.002714243558152651,-0.0059660220966728525,25,0.208,0.08,0.0
41,Sang-eon Park,Hanwha Eagles,4,0.009446391310777236,0.0026561607425807203,-0.005614435490834513,29,0.214,0.034482758620689655,0.0
42,Gwang-min Song,Hanwha Eagles,98,0.11001500829691452,0.017908145159784037,0.22225437023129235,176,0.212,0.10227272727272728,0.028409090909090908
43,Yeong-seok Chang,Kia Tigers,37,0.05838303434441024,-0.0014756541180352206,0.13005749077068135,37,0.129,0.05405405405405406,0.0
44,Hyoung-woo Choi,Kia Tigers,136,0.16270611912691454,0.04962231694366168,0.2878530368156391,413,0.337,0.17433414043583534,0.03631961259079903
45,Jeong-Min Choi,Kia Tigers,1,0.014986527971253704,0.0026577459712232962,-0.005193301135850621,4,0.25,0.5,0.0
46,Jeong-young Choi,Kia Tigers,5,0.04856872073457357,0.0005152647024413461,0.2024759462410748,49,0.174,0.08163265306122448,0.02040816326530612
47,Won-joon Choi,Kia Tigers,93,0.09916735837353399,0.0023299284624152365,0.2133695274399172,202,0.287,0.0891089108910891,0.0049504950495049506
48,Seung-Taek Han,Kia Tigers,73,0.1600843608031223,0.05154830568711788,0.3151888409035851,203,0.238,0.10837438423645321,0.03940886699507389
49,Dae-in Hwang,Kia Tigers,39,0.11038956973195588,0.027136288806408303,0.2602693918609095,83,0.247,0.12048192771084337,0.03614457831325301
50,Yoon-ho Hwang,Kia Tigers,60,0.06770625239848109,-0.0002323091072661352,0.23713936798309945,73,0.243,0.0684931506849315,0.0
51,Ho-ryeong Kim,Kia Tigers,26,0.3259989350935183,0.07289585739558532,0.3839072944219523,147,0.222,0.10884353741496598,0.027210884353741496
52,Ju-chan Kim,Kia Tigers,4,0.04903167971587508,-0.00024645031851595195,0.25685708402134405,18,0.333,0.1111111111111111,0.05555555555555555
53,Kyu Sung Kim,Kia Tigers,14,0.03381962560158995,0.0013041971250672294,0.15091570110968786,154,0.185,0.045454545454545456,0.012987012987012988
54,Seon-bin Kim,Kia Tigers,124,0.09832245797797026,0.006230770593295431,0.3204575457800367,192,0.353,0.09895833333333333,0.0
55,Jeong-hoon Lee,Kia Tigers,4,0.0079946662810223,0.0024539339148311017,-0.0052457847311665464,4,0.0,0.0,0.0
56,Woo-Seong Lee,Kia Tigers,24,0.022755088851120892,-0.0045769757895857245,0.06788622057059845,31,0.12,0.03225806451612903,0.0
57,Seon-jae Moon,Kia Tigers,6,0.04719730510258823,0.0013707286907852381,0.16708444683457446,6,0.16699999999999998,0.0,0.0
58,Ji-wan Na,Kia Tigers,120,0.14722185554343298,0.035197134096570784,0.3027985430717458,392,0.29600000000000004,0.18622448979591838,0.03571428571428571
59,Ju-hwan Na,Kia Tigers,46,0.1052236418334332,0.019657699955771442,0.18974765511550265,222,0.279,0.11711711711711711,0.02702702702702703
60,Yong-hwan Paek,Kia Tigers,46,0.14728144102178586,0.04646830130744262,0.2778008000787457,87,0.243,0.10344827586206896,0.04597701149425287
61,Chan-Ho Park,Kia Tigers,137,0.07314367290092108,0.006758150973005465,0.2365912582206948,389,0.235,0.07455012853470437,0.007712082262210797
62,Preston Tucker,Kia Tigers,134,0.17611734072000815,0.05524925209931302,0.3264766086621511,435,0.306,0.1724137931034483,0.05517241379310345
63,Min-sang Yu,Kia Tigers,82,0.11633144892998196,0.015559270042367068,0.3213780984218596,317,0.26,0.17034700315457413,0.01892744479495268
64,Sang Kwon Byeon,Kiwoom Heroes,5,0.0975380304426838,-0.003523576682659083,0.20245474495141227,36,0.28600000000000003,0.2222222222222222,0.0
65,Hyo-sang Choo,Kiwoom Heroes,4,0.009034298528809284,0.0026769074241660517,-0.00569557047285979,68,0.182,0.07352941176470588,0.0
66,Jung-heop Ho,Kiwoom Heroes,20,0.06733191649743529,0.00246689815315878,0.2686445813851679,239,0.263,0.1087866108786611,0.02510460251046025
67,Byung-woo Jeon,Kiwoom Heroes,45,0.15193243144773402,0.04197974019772195,0.3198346046959387,282,0.25,0.13120567375886524,0.02127659574468085
68,Ha-Seong Kim,Kiwoom Heroes,141,0.13357593876063953,0.04073454219354193,0.2750218442165551,465,0.302,0.17849462365591398,0.047311827956989246
69,Hye-seong Kim,Kiwoom Heroes,92,0.112163403281352,0.013304206867846271,0.2847649001221377,389,0.277,0.12082262210796915,0.017994858611825194
70,Joo-hyung Kim,Kiwoom Heroes,37,0.10965133168262023,0.0282994563852099,0.2273310744658058,50,0.233,0.12,0.02
71,Kyu-min Kim,Kiwoom Heroes,56,0.051807881448116815,0.0007994757044225196,0.18762981552704774,105,0.221,0.05714285714285714,0.009523809523809525
72,Woong-bin Kim,Kiwoom Heroes,25,0.16987704323412206,0.04096717055560264,0.2694861203682586,132,0.271,0.14393939393939395,0.03787878787878788
73,Ji-yeong Lee,Kiwoom Heroes,73,0.11299123331813232,0.002765280960345213,0.3218247538219946,221,0.318,0.12669683257918551,0.0
74,Jung-hoo Lee,Kiwoom Heroes,139,0.18745416520976727,0.039017269701136975,0.3666985639739657,453,0.337,0.17439293598233996,0.033112582781456956
75,Taek-geun Lee,Kiwoom Heroes,64,0.07045361802584954,0.001005031472995228,0.1913323877062201,64,0.193,0.109375,0.0
76,Byung-Wook Lim,Kiwoom Heroes,40,0.09557600536315496,0.002535311116703617,0.27038936795338364,41,0.27,0.14634146341463414,0.0
77,Taylor Motter,Kiwoom Heroes,37,0.0940601323235516,0.023785010813564152,0.11949488253948995,37,0.114,0.08108108108108109,0.02702702702702703
78,ByungHo Park,Kiwoom Heroes,132,0.12457105912288287,0.046732057770172,0.20909760857203846,343,0.229,0.16909620991253643,0.05830903790087463
79,Dong-won Park,Kiwoom Heroes,109,0.2126445223148351,0.06281882440529729,0.36337739961872495,294,0.263,0.1564625850340136,0.04081632653061224
80,Jeong-um Park,Kiwoom Heroes,16,0.03544084058982225,7.871117180228634e-05,0.13328938338749874,41,0.184,0.04878048780487805,0.0
81,Jun-Tae Park,Kiwoom Heroes,79,0.07837264678856283,0.0016068494563748065,0.20587624820860248,278,0.245,0.0539568345323741,0.0035971223021582736
82,Geon-chang Seo,Kiwoom Heroes,125,0.15586535232522591,0.03647942446835983,0.2947660146194376,427,0.273,0.07962529274004684,0.0117096018735363
83,Jeong-dae Bae,KT Wiz,121,0.16568008113882676,0.0114886358868625,0.3570374343199695,419,0.309,0.11455847255369929,0.026252983293556086
84,Seong-woo Chang,KT Wiz,100,0.14181561955797622,0.02939788690791045,0.29336290377202856,313,0.28800000000000003,0.18849840255591055,0.025559105431309903
85,Seong Ho Cheon,KT Wiz,10,0.13140523766551948,0.004674304095323064,0.32428008923515705,72,0.203,0.013888888888888888,0.0
86,Yong-ho Cho,KT Wiz,99,0.11370515031311908,0.00652306068000723,0.3558229073606763,319,0.301,0.05956112852664577,0.0
87,Jae-gyun Hwang,KT Wiz,105,0.13895723047346847,0.017991630328296287,0.30733518473801164,394,0.299,0.14974619289340102,0.03299492385786802
88,Baek-ho Kang,KT Wiz,69,0.23903496996058396,0.07638310758034339,0.3213720870242733,371,0.321,0.16172506738544473,0.04582210242587601
89,Hyeon Woo Kang,KT Wiz,23,0.07733491977896266,0.0016885718662975038,0.2335166998673028,27,0.24,0.1111111111111111,0.037037037037037035
90,Min-Gok Kang,KT Wiz,22,0.04975709197079496,0.0011418380083708707,0.18288467617283866,57,0.241,0.10526315789473684,0.0
91,Byung-hee Kim,KT Wiz,15,0.12021721221270625,0.05506736972506818,0.1467280229833272,17,0.17600000000000002,0.058823529411764705,0.058823529411764705
92,Min-hyeok Kim,KT Wiz,85,0.16048870760604772,0.033574780780071985,0.25953897467920395,197,0.269,0.09644670050761421,0.02030456852791878
93,Sang-cheol Moon,KT Wiz,46,0.12811698421173132,0.03503354258453907,0.2803567888005713,72,0.197,0.125,0.027777777777777776
94,Kyung-soo Park,KT Wiz,108,0.16773828651374062,0.04158813127866772,0.29497896050162625,290,0.276,0.16206896551724137,0.034482758620689655
95,Seung-Wook Park,KT Wiz,33,0.09408215803447556,0.0023674166350520862,0.17606228375164434,100,0.241,0.07,0.01
96,Mel Rojas,KT Wiz,131,0.21015376785598405,0.06252446285244911,0.38834764706968095,443,0.35100000000000003,0.22121896162528218,0.08126410835214447
97,Woo-joon Shim,KT Wiz,137,0.08195757093633277,0.0012794801613906124,0.2606394557663377,371,0.222,0.09433962264150944,0.008086253369272238
98,Min-seob Song,KT Wiz,11,0.08388545986604064,-0.0003635122231638397,-0.0013601425456084284,33,0.138,0.09090909090909091,0.030303030303030304
99,Han-jun Yu,KT Wiz,55,0.14966616897022345,0.047926196385584666,0.2978905899315117,310,0.287,0.13870967741935483,0.025806451612903226
100,Weun-Sung Chae,LG Twins,121,0.15229792492720104,0.030967711016724925,0.32377526301639803,335,0.28800000000000003,0.19402985074626866,0.026865671641791045
101,Geun-woo Chung,LG Twins,85,0.0835505511471521,0.01128907888316865,0.2011342238624221,161,0.236,0.08074534161490683,0.006211180124223602
102,Ju-hyun Chung,LG Twins,46,0.12660626791532634,0.04147360284055557,0.24695888633710086,251,0.26,0.10756972111553785,0.01195219123505976
103,Suk Hyun Han,LG Twins,2,-0.0365881196001274,-0.023823384227059874,0.056079409204509316,3,0.0,0.0,0.0
104,Chang-ki Hong,LG Twins,47,0.09488164927443696,0.009359980116161591,0.19636945945739664,313,0.282,0.07348242811501597,0.009584664536741214
105,Hyun Soo Kim,LG Twins,134,0.15969407125359186,0.0237870226216366,0.3717419237375882,442,0.35200000000000004,0.19457013574660634,0.04524886877828054
106,Min-seong Kim,LG Twins,105,0.11065755498451436,0.013164808133345742,0.2694380205339564,212,0.293,0.16037735849056603,0.014150943396226415
107,Yong-ui Kim,LG Twins,19,0.15509877979162198,-0.0009112852826959547,0.3222679965906096,63,0.322,0.1746031746031746,0.015873015873015872
108,Bon-hyeok Koo,LG Twins,10,0.025711434373706998,-0.0003451087597523498,0.11052960319842603,74,0.185,0.08108108108108109,0.013513513513513514
109,Chun-Woong Lee,LG Twins,129,0.10213877133149893,0.008397030536703452,0.26697735630388725,272,0.279,0.09926470588235294,0.003676470588235294
110,Seong-u Lee,LG Twins,15,0.25792926010366785,0.115007405474873,0.3913482185099332,67,0.263,0.16417910447761194,0.04477611940298507
111,Ji-hwan Oh,LG Twins,113,0.14329322298682895,0.026739834328828517,0.22479500486906734,412,0.287,0.13349514563106796,0.024271844660194174
112,Seung-hyun Paek,LG Twins,18,0.09899492934929012,0.003296295020232012,0.3942386018648288,39,0.25,0.05128205128205128,0.0
113,Jae-wook Park,LG Twins,7,0.055394302424864116,-0.0011340433864306455,0.16904068286065332,12,0.3,0.08333333333333333,0.0
114,Yong-taik Park,LG Twins,101,0.11084244846817906,0.0021404041884238198,0.2775784238867491,181,0.319,0.15469613259668508,0.011049723756906077
115,Roberto Ramos,LG Twins,121,0.2566042910150181,0.09976815571168167,0.3760310293532549,404,0.29,0.17326732673267325,0.07673267326732673
116,Kang-Nam Yoo,LG Twins,99,0.1490501826767096,0.03868581483380832,0.2828847489538524,344,0.271,0.18313953488372092,0.0377906976744186
117,Chi-hong Ahn,Lotte Giants,128,0.10552117123013928,0.015128962194104156,0.25887669654643025,367,0.271,0.1008174386920981,0.010899182561307902
118,Jae-hyun Choo,Lotte Giants,28,0.0235486247725354,-0.0013688117025129306,0.12500463885418733,28,0.125,0.0,0.0
119,Hoon Chung,Lotte Giants,36,0.17544478616251902,0.03582896683723559,0.3459341076378175,315,0.306,0.1365079365079365,0.025396825396825397
120,Dong-hui Han,Lotte Giants,102,0.0923257164709625,0.008862313697768909,0.2330916667712576,343,0.277,0.1282798833819242,0.03206997084548105
121,Il Heo,Lotte Giants,39,0.08371590693983452,0.02369352715068619,0.1821108077162092,71,0.21,0.08450704225352113,0.014084507042253521
122,Jun-woo Jeon,Lotte Giants,127,0.1320108136428034,0.028264553590569945,0.2847454652741036,428,0.293,0.14719626168224298,0.037383177570093455
123,Bo-geun Jung,Lotte Giants,57,0.04655191043246267,0.0002818058409499204,0.13394075868842215,126,0.127,0.023809523809523808,0.0
124,Lo-han Kang,Lotte Giants,16,0.057721123172850074,0.002076594479367373,0.21810036315751904,26,0.19,0.038461538461538464,0.0
125,Dong-Han Kim,Lotte Giants,18,0.07370446330262456,-0.0006023222112079302,0.2255589350841869,54,0.196,0.07407407407407407,0.0
126,Jae-yoo Kim,Lotte Giants,3,0.010301062835038193,0.002520001007130828,-0.005225802856282602,71,0.259,0.07042253521126761,0.0
127,Joon-Tae Kim,Lotte Giants,55,0.10574101257972704,0.01846027804278381,0.20415411191717628,221,0.228,0.11312217194570136,0.013574660633484163
128,Dae-ho Lee,Lotte Giants,127,0.16052538526421434,0.03584174821826686,0.3219121019833926,413,0.289,0.17433414043583534,0.03631961259079903
129,Dixon Machado,Lotte Giants,117,0.12783723394129198,0.03173989371162385,0.22442950552800114,391,0.298,0.14066496163682865,0.02557544757033248
130,Byeong-heon Min,Lotte Giants,111,0.10116642753906016,0.017051212607723985,0.2485757467039778,307,0.227,0.06188925081433225,0.006514657980456026
131,Yoon-seok Oh,Lotte Giants,22,0.13096352748506254,0.005296895598077042,0.4347526738036269,71,0.295,0.1267605633802817,0.0
132,Bon-Ki Shin,Lotte Giants,34,0.05206373522454817,0.0007019990430940317,0.1870920467341936,94,0.229,0.10638297872340426,0.02127659574468085
133,Ah-seop Son,Lotte Giants,134,0.1182795239584706,0.014967695696860291,0.3045799999903752,419,0.35,0.1431980906921241,0.016706443914081145
134,Aaron Altherr,NC Dinos,118,0.18722912330842836,0.06693428469428456,0.28944501558106583,364,0.294,0.21703296703296704,0.057692307692307696
135,Seok-hun Chi,NC Dinos,8,0.22783177116047265,0.11443201485746687,0.17454197532836535,81,0.191,0.09876543209876543,0.012345679012345678
136,Jin-Sung Kang,NC Dinos,98,0.2580437325922941,0.07860995092690226,0.4453007628531477,304,0.338,0.17763157894736842,0.039473684210526314
137,Chan-hyung Kim,NC Dinos,24,0.1072507364736258,0.00528823740548548,0.2750140551263036,60,0.264,0.1,0.0
138,Jun-Wan Kim,NC Dinos,25,0.11263150003277395,0.040940131156997135,0.23493937836048465,59,0.24,0.0847457627118644,0.01694915254237288
139,Seong-Wook Kim,NC Dinos,37,0.0900686117956917,0.02718128408022748,0.204473348840764,118,0.243,0.09322033898305085,0.025423728813559324
140,Tae-gun Kim,NC Dinos,37,0.16367061799294527,0.013455090821996077,0.3266931770284428,98,0.289,0.17346938775510204,0.01020408163265306
141,Hee-Dong Kwon,NC Dinos,88,0.14082466161144086,0.03877216443775916,0.3268328264008624,286,0.263,0.12237762237762238,0.03496503496503497
142,Myeong-gi Lee,NC Dinos,110,0.10862882025799736,0.01020493858493183,0.30561894630480885,363,0.32299999999999995,0.10192837465564739,0.0027548209366391185
143,Sang-Ho Lee,NC Dinos,13,0.023444998563760592,0.0032563743200047604,0.07399740338339555,47,0.091,0.0,0.0
144,Won-jae Lee,NC Dinos,37,0.051203650420077546,0.0006088386228984763,0.17884318008815298,79,0.274,0.06329113924050633,0.012658227848101266
145,Chang-min Mo,NC Dinos,11,0.20497545560136812,0.07102555732456993,0.298165887508945,122,0.297,0.06557377049180328,0.01639344262295082
146,Sung-Bum Na,NC Dinos,139,0.2016968507393376,0.07187928890120446,0.34032132298646034,425,0.313,0.2023529411764706,0.06352941176470588
147,Jin-Hyuk No,NC Dinos,110,0.14807861748112486,0.04501362207420957,0.3076452039932416,326,0.273,0.18098159509202455,0.046012269938650305
148,Min-Woo Park,NC Dinos,130,0.14141158321888905,0.018131209796703813,0.31495875421615155,336,0.33,0.09821428571428571,0.011904761904761904
149,Sok-min Park,NC Dinos,100,0.17845632437815726,0.05529871766626295,0.2792587116145621,313,0.28,0.14057507987220447,0.03194888178913738
150,Ho Cheol Seo,NC Dinos,8,0.009343437500079932,0.002635764415225974,-0.005570659437874714,8,0.0,0.0,0.0
151,Ui-ji Yang,NC Dinos,103,0.191784533947688,0.052853311845210985,0.305610875347166,340,0.317,0.21764705882352942,0.05
152,Young-Jin Choi,Samsung Lions,24,0.0705557730515895,0.002651061214054041,0.2749288297019995,93,0.272,0.11827956989247312,0.010752688172043012
153,Min-ho Kang,Samsung Lions,78,0.1257208004981441,0.044164400233447164,0.20346555601936064,264,0.287,0.15151515151515152,0.05303030303030303
154,Dong-Yub Kim,Samsung Lions,114,0.13656969569031538,0.03898793463381835,0.2626655877591608,262,0.287,0.14122137404580154,0.03816793893129771
155,Hun-Gon Kim,Samsung Lions,85,0.049673961588165116,0.00036102510239367785,0.19047851949673092,205,0.262,0.12682926829268293,0.014634146341463415
156,Jae-Hyeon Kim,Samsung Lions,4,0.06664659238998863,0.0017735223978391226,0.2512543223239645,13,0.182,0.3076923076923077,0.0
157,Ji Chan Kim,Samsung Lions,40,0.10635137834914424,0.003154976751666523,0.2815077753270109,221,0.262,0.049773755656108594,0.004524886877828055
158,Sang-soo Kim,Samsung Lions,123,0.10013186972301727,0.0078293420231042,0.2930871141471608,339,0.321,0.09144542772861357,0.008849557522123894
159,Sung-Pyo Kim,Samsung Lions,4,0.060414620332604974,-0.0005090390936639943,0.2559767586566685,5,0.2,0.0,0.0
160,Weung-Min Kim,Samsung Lions,34,0.047163878424768726,0.0007578183690488837,0.18225191878141986,68,0.21,0.07352941176470588,0.0
161,Ja-wook Koo,Samsung Lions,48,0.16725175454941882,0.02774365986843365,0.3504203728363399,329,0.322,0.14893617021276595,0.030395136778115502
162,Hak-Ju Lee,Samsung Lions,89,0.1439559794605128,0.024980120999227404,0.20118626577752308,243,0.228,0.11522633744855967,0.01646090534979424
163,Seong-Gon Lee,Samsung Lions,20,0.13056880822963998,0.0035877952996125517,0.2682228116072316,136,0.301,0.125,0.03676470588235294
164,Sung-kyu Lee,Samsung Lions,56,0.15172935310334362,0.050824636683477864,0.1954244701519716,183,0.184,0.15300546448087432,0.04918032786885246
165,Won-seok Lee,Samsung Lions,108,0.1531512911573859,0.03706292188182199,0.24584485441876636,323,0.275,0.1826625386996904,0.02786377708978328
166,Ben Lively,Samsung Lions,1,0.01373385018536151,0.0027187198666246658,-0.0054350221726515435,1,0.0,0.0,0.0
167,Seung-min Paek,Samsung Lions,4,0.017823141459208842,-0.013137106818951324,0.03748459573396254,12,0.0,0.08333333333333333,0.0
168,Chan-Do Park,Samsung Lions,78,0.11558278377945252,0.016354774631364456,0.22678873774875244,116,0.219,0.06896551724137931,0.008620689655172414
169,Gye-Bum Park,Samsung Lions,30,0.12953634063034775,0.032955420387932,0.2947151249753229,117,0.22,0.08547008547008547,0.017094017094017096
170,Hae-Min Park,Samsung Lions,70,0.09039267199639127,0.010799352096579229,0.2382012577975594,344,0.314,0.11337209302325581,0.023255813953488372
171,Seung-gyu Park,Samsung Lions,46,0.09263869349622676,0.00030506070142541884,0.3406926915818839,181,0.262,0.0718232044198895,0.0055248618784530384
172,Tyler Saladino,Samsung Lions,102,0.14569060358719965,0.04257006389896932,0.2660290875291411,163,0.28,0.1656441717791411,0.03680981595092025
