,Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Team,Season
0,1.0,Gweon Su An?,27.0,46,30,28,8,6,0,0,0,3,1,0,1,4,0.214,0.233,0.214,0.44799999999999995,6,1,0,0,1,0,,Doosan Bears,2020
1,2.0,Soo-haeng Cho*,26.0,9,4,4,1,1,0,0,0,0,0,1,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0,,Doosan Bears,2020
2,3.0,Ju-hwan Choi*,32.0,102,414,371,47,111,22,2,12,64,2,2,33,48,0.299,0.358,0.466,0.825,173,7,4,1,5,3,,Doosan Bears,2020
3,4.0,Yong-jae Choi,28.0,23,45,42,9,13,0,1,0,9,0,0,2,8,0.31,0.341,0.35700000000000004,0.698,15,2,0,1,0,0,,Doosan Bears,2020
4,5.0,Sang-ho Chung,37.0,40,91,85,3,14,6,0,0,8,0,0,2,28,0.165,0.182,0.235,0.41700000000000004,20,4,0,3,1,0,,Doosan Bears,2020
5,6.0,Soo-bin Chung*,29.0,101,394,354,57,107,12,6,3,43,10,6,30,42,0.302,0.358,0.395,0.754,140,8,2,6,2,2,,Doosan Bears,2020
6,7.0,Jose Miguel Fernandez*,32.0,104,485,426,79,157,25,0,16,82,0,1,43,33,0.369,0.431,0.54,0.971,230,17,9,0,7,1,,Doosan Bears,2020
7,8.0,Hae-sung Guk#,30.0,42,89,81,10,20,1,0,3,17,1,1,6,19,0.247,0.303,0.37,0.674,30,2,1,0,1,2,,Doosan Bears,2020
8,9.0,Kyeong-min Ho,29.0,78,322,291,42,100,13,1,6,38,11,4,23,19,0.344,0.39299999999999996,0.457,0.85,133,8,3,1,4,1,,Doosan Bears,2020
9,10.0,Seung-Hyeon Jang,26.0,9,9,9,1,2,0,0,0,0,0,0,0,2,0.222,0.222,0.222,0.444,2,1,0,0,0,0,,Doosan Bears,2020
10,11.0,In-Tae Kim*,25.0,58,88,67,13,15,5,0,1,10,0,0,16,9,0.22399999999999998,0.384,0.34299999999999997,0.727,23,3,2,2,1,0,,Doosan Bears,2020
11,12.0,Jae-ho Kim,35.0,82,326,284,40,87,11,1,2,28,5,2,34,32,0.306,0.37799999999999995,0.373,0.752,106,12,2,1,5,1,,Doosan Bears,2020
12,13.0,Jae-hwan Kim*,31.0,100,438,370,60,101,16,0,20,83,6,0,64,114,0.273,0.377,0.478,0.855,177,9,0,0,4,2,,Doosan Bears,2020
